,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
423,chhindwara,83,IN,1570678292,72,22.06,78.94,72.91,7.15
424,preobrazheniye,1,RU,1570678292,72,42.9,133.91,60.75,9.33
425,hofn,100,IS,1570678293,70,64.25,-15.21,45.23,17.53
426,chase,1,US,1570678293,88,38.35,-98.35,70,18.34
427,coulihaut,,,,,,,,
428,acajutla,100,SV,1570678293,72,13.59,-89.83,83.61,6.06
429,villarrica,64,CL,1570678293,93,-39.28,-72.23,50,3.36
430,cuenca,75,EC,1570678294,76,-2.9,-79,57.2,3.36
431,lata,0,IN,1570678294,43,30.78,78.62,36.54,3.56
432,nerang,1,AU,1570678294,46,-27.99,153.34,75,21.92
433,sungaipenuh,95,ID,1570678294,55,-2.08,101.38,77,2.6
434,san patricio,0,PY,1570678294,68,-26.98,-56.83,68.47,5.99
435,beringovskiy,0,RU,1570678295,61,63.05,179.32,33.57,9.49
436,mogadishu,10,SO,1570678295,83,2.04,45.34,80.02,4.79
437,katsiveli,,,,,,,,
438,evensk,100,RU,1570678295,42,61.92,159.24,32.45,11.95
439,swan hill,9,AU,1570678295,34,-35.34,143.56,66.9,8.86
440,manzil kamil,75,TN,1570678295,100,35.62,10.67,73.4,16.11
441,uvinza,92,TZ,1570678296,71,-5.1,30.39,68.5,4.89
442,iqaluit,75,CA,1570678296,80,63.75,-68.52,39.2,13.87
443,komsomolets,5,RU,1570678296,95,52.77,41.29,38.68,6.16
444,moerai,100,PF,1570678296,66,-22.43,-151.33,68.23,15.77
445,concepcion del oro,28,MX,1570678296,46,24.63,-101.42,67.89,0.83
446,warmbad,80,DE,1570678297,76,50.67,13.08,51.01,11.41
447,xuddur,60,SO,1570678297,89,4.12,43.89,72.46,9.06
448,rawson,0,AR,1570678297,46,-43.3,-65.11,56.7,16
449,kaoma,100,ZM,1570678297,91,-14.8,24.8,62.33,4.51
450,kalevala,100,FI,1570678297,97,64.12,29.58,32.85,8.93
451,tarko-sale,100,RU,1570678298,80,64.92,77.78,35.01,27.14
452,baykit,0,RU,1570678298,58,61.68,96.39,24.44,3.45
453,deputatskiy,100,RU,1570678298,92,69.3,139.9,9.36,2.19
454,xichang,100,CN,1570678298,94,27.88,102.25,51.01,3.96
455,galesong,20,ID,1570678298,44,-5.32,119.37,95,5.82
456,umm kaddadah,29,SD,1570678299,50,13.6,26.69,82.13,5.61
457,pekan,75,MY,1570678299,62,3.49,103.39,87.8,2.24
458,teul,,,,,,,,
459,shache,0,CN,1570678299,23,38.42,77.24,64.63,6.13
460,yaring,40,TH,1570678299,78,6.87,101.37,82.4,3.36
461,longyearbyen,0,NO,1570678300,90,78.22,15.63,19.09,2.72
462,garachine,44,PA,1570678300,78,8.06,-78.36,80.33,4.8
463,rypefjord,40,NO,1570678300,86,70.63,23.67,37.4,13.87
464,saint-augustin,40,CA,1570678300,70,45.63,-73.98,52,2.24
465,sabha,0,LY,1570678300,41,27.03,14.43,69.19,6.15
466,edd,89,ER,1570678301,58,13.93,41.69,85.15,1.57
467,muyezerskiy,100,RU,1570678301,97,63.93,31.65,32.97,10.05
468,aybak,,,,,,,,
469,karasjok,100,NO,1570678301,100,69.47,25.52,37.4,13.87
470,taseyevo,0,RU,1570678301,49,57.22,94.9,31.55,4.47
471,mezen,100,RU,1570678302,96,65.85,44.24,35.11,11.54
472,manta,0,RO,1570678302,68,45.1,24.1,46.6,1.3
473,bluefield,1,US,1570678303,87,37.27,-81.22,59,3.36
474,gainesville,20,US,1570678304,94,29.65,-82.33,72,5.82
475,southbridge,90,US,1570678304,81,42.08,-72.03,53.6,12.75
476,vanderhoof,72,CA,1570678304,55,54.02,-124.02,30.69,4.16
477,saint anthony,90,US,1570678304,68,43.97,-111.68,26.6,3.36
478,nieuw amsterdam,66,SR,1570678304,88,5.88,-55.08,79,5.82
479,rovaniemi,90,FI,1570678305,97,66.5,25.72,33.8,3.36
480,cangucu,49,BR,1570678305,82,-31.39,-52.68,62.01,5.04
481,cockburn town,12,TC,1570678305,75,21.46,-71.14,82.83,14.94
482,jilin,100,CN,1570678305,65,43.84,126.54,61.99,15.54
483,reconquista,0,AR,1570678305,64,-29.14,-59.64,66.61,8.21
484,san isidro,100,CR,1570678305,94,10.02,-84.06,70,3.36
485,lincoln,90,US,1570678307,87,40.8,-96.67,61,9.17
486,tokmak,83,UA,1570678307,81,47.26,35.7,47.23,8.64
487,anadyr,0,RU,1570678308,63,64.73,177.51,30.2,8.95
488,kutum,100,SD,1570678308,59,14.2,24.66,75.27,0.63
489,druzhba,100,UA,1570678308,64,49.36,25.65,54,4
490,sioux lookout,90,CA,1570678309,59,50.1,-91.92,60.8,5.82
491,sakakah,,,,,,,,
492,brigantine,90,US,1570678313,93,39.41,-74.36,57.99,10.29
493,cabedelo,40,BR,1570678313,83,-6.97,-34.84,77,10.29
494,ulvik,100,NO,1570678314,96,60.57,6.92,45,4.8
495,bontang,98,ID,1570678315,63,0.12,117.47,85.87,6.19
496,srandakan,3,ID,1570678315,51,-7.94,110.25,86.09,12.56
497,dingle,85,PH,1570678316,74,11,122.67,83.91,5.85
498,kang,0,BW,1570678317,29,-23.67,22.79,62.15,15.67
499,juliaca,0,PE,1570678318,40,-15.49,-70.13,43.27,3.28
500,broome,0,GB,1570678318,93,52.47,1.45,48,8.05
501,piacabucu,16,BR,1570678320,77,-10.41,-36.43,76.28,11.34
502,pisco,90,PE,1570678321,82,-13.71,-76.2,60.8,10.29
503,rameswaram,61,IN,1570678322,75,9.28,79.3,83.28,10.08
504,port hardy,5,CA,1570678323,93,50.7,-127.42,35.6,3.36
505,whitehorse,75,CA,1570678325,84,60.72,-135.06,35.01,14.99
506,nouadhibou,100,MR,1570678325,73,20.93,-17.03,71.6,13.87
507,mayo,75,CA,1570678325,86,63.59,-135.9,30.2,2.6
508,nyurba,100,RU,1570678326,76,63.29,118.35,21.72,10.74
509,tupancireta,0,BR,1570678328,91,-29.08,-53.84,59.61,6.89
510,pasighat,84,IN,1570678328,91,28.06,95.33,73.38,2.85
511,leningradskiy,29,RU,1570678330,74,69.38,178.42,28.35,18.42
512,cayenne,5,GF,1570678330,88,4.94,-52.33,77,4.7
513,bubaque,94,GW,1570678333,77,11.28,-15.83,81.5,9.69
514,healdsburg,1,US,1570678335,29,38.61,-122.87,64,4.56
515,grand gaube,75,MU,1570678335,83,-20.01,57.66,73.99,21.92
516,liverpool,40,GB,1570678336,81,53.41,-2.98,52,10.29
517,touros,40,BR,1570678336,88,-5.2,-35.46,73.4,4.7
518,flin flon,0,CA,1570678337,55,54.77,-101.88,29.75,6.96
519,aquin,86,HT,1570678337,79,18.28,-73.39,78.76,3.57
520,zhanaozen,0,KZ,1570678338,90,43.35,52.85,49.1,8.19
521,parksville,1,US,1570678338,88,33.79,-82.22,66,3.36
522,rio branco do sul,40,BR,1570678338,93,-25.19,-49.31,57,6.93
523,le creusot,99,FR,1570678338,87,46.81,4.43,52,3.36
524,georgiyevka,38,RU,1570678338,94,52.25,40.45,41.09,6.79
525,kawana waters,,,,,,,,
526,kamenskoye,,,,,,,,
527,hovd,60,NO,1570678339,93,63.83,10.7,44.01,10.29
528,tabiauea,,,,,,,,
529,dwarka,0,IN,1570678339,61,28.58,77.04,84.99,4.96
530,roald,100,NO,1570678339,81,62.58,6.12,48.2,12.75
531,pangai,40,TO,1570678339,78,-19.8,-174.35,80.6,5.82
532,huilong,100,CN,1570678340,90,31.15,106.5,62.53,8.36
533,lima,90,PE,1570678340,87,-12.06,-77.04,59,5.82
534,pemangkat,,,,,,,,
535,buon me thuot,,,,,,,,
536,agirish,100,RU,1570678340,93,61.92,63.02,39.04,8.63
537,urdoma,95,RU,1570678340,90,61.74,48.55,32.99,6.45
538,kidal,19,ML,1570678341,36,18.44,1.41,85.28,7.23
539,negara,48,ID,1570678341,82,-8.36,114.62,77.22,7.3
540,tyumentsevo,53,RU,1570678341,59,53.32,81.5,42.67,8.24
541,san carlos de bariloche,40,AR,1570678341,76,-41.13,-71.31,48.2,12.75
542,sistranda,0,NO,1570678341,75,63.73,8.83,44.01,11.41
543,dindori,0,IN,1570678342,70,22.94,81.08,73.02,3.71
544,port-cartier,5,CA,1570678343,92,50.03,-66.88,35.01,3.83
545,okha,19,RU,1570678344,59,53.59,142.95,51.51,8.9
546,noyabrsk,100,RU,1570678344,85,63.2,75.45,39.04,26.31
547,bandarbeyla,15,SO,1570678344,88,9.49,50.81,79.03,9.02
548,geraldton,20,CA,1570678344,66,49.72,-86.95,55.4,12.75
549,itarema,15,BR,1570678344,78,-2.92,-39.92,76.03,9.8
550,mahebourg,75,MU,1570678345,83,-20.41,57.7,73.99,21.92
551,houma,100,CN,1570678345,80,35.63,111.36,58.3,6.41
552,aasiaat,61,GL,1570678345,53,68.71,-52.87,23.83,5.12
553,muisne,100,EC,1570678345,85,0.61,-80.02,74.73,8.08
554,tumannyy,,,,,,,,
555,port hedland,64,AU,1570678345,41,-20.31,118.58,93.2,14.99
556,morros,3,BR,1570678346,83,-2.87,-44.04,78.8,12.75
557,lokosovo,100,RU,1570678347,83,61.13,74.84,46.47,13.6
558,andevoranto,,,,,,,,
559,mogochin,,,,,,,,
560,toora-khem,14,RU,1570678349,54,52.47,96.11,35.91,3.61
561,naberera,79,TZ,1570678350,85,-4.2,36.93,64.87,6.25
562,bara,100,NG,1570678350,92,10.41,10.6,71.31,2.17
563,tsabong,0,BW,1570678351,35,-26.02,22.4,54.12,9.78
564,nemuro,20,JP,1570678352,55,43.32,145.57,64.4,6.93
565,tubruq,,,,,,,,
566,cukai,75,MY,1570678353,74,4.25,103.42,87.8,2.24
567,estrela,0,BR,1570678354,96,-29.5,-51.96,64.99,1.86
568,sicamous,1,CA,1570678354,54,50.84,-118.99,32,3.36
569,regina,90,CA,1570677908,79,50.45,-104.62,28.99,9.17
570,gobabis,0,NA,1570678354,44,-22.45,18.97,59,2.24
571,phan rang,,,,,,,,
572,loutros,20,GR,1570678354,93,40.59,22.4,62.01,3.36
573,siguiri,26,GN,1570678355,93,11.42,-9.17,72.45,4.13
574,aqtobe,90,KZ,1570678355,93,50.28,57.21,41,13.42
575,baghdad,18,IQ,1570678355,64,33.3,44.38,75.2,4.7
576,huarmey,73,PE,1570678355,85,-10.07,-78.15,57.96,2.34
577,sibu,75,MY,1570678355,94,2.29,111.83,73.4,3.36
578,rungata,,,,,,,,
579,hasaki,75,JP,1570678356,60,35.73,140.83,77,10.29
580,san cristobal,73,HN,1570678356,93,14.68,-86.92,67.33,4.58
581,imbituba,0,BR,1570678356,88,-28.24,-48.67,68,10.29
582,laguna,40,BZ,1570678356,100,16.17,-88.94,78.8,2.35
583,acapulco,75,MX,1570678357,83,16.86,-99.88,80.6,2.27
584,bayan,100,CN,1570678357,55,36.1,102.26,42.66,3.09
585,khuzdar,0,PK,1570678357,49,27.8,66.62,67.26,2.21
586,siderno,40,IT,1570678357,82,38.28,16.3,71.01,2.24
587,mizdah,19,LY,1570678357,70,31.45,12.98,61.18,4.64
588,aurillac,75,FR,1570678358,93,44.93,2.44,50,2.24
589,palmares do sul,0,BR,1570678359,94,-30.26,-50.51,60.01,10.97
590,yulara,0,AU,1570678360,7,-25.24,130.99,86,8.05
591,kondrovo,90,RU,1570678362,93,54.81,35.93,46.4,8.95
592,mocuba,23,MZ,1570678363,57,-16.84,36.99,78.6,5.45
593,la asuncion,18,AR,1570678364,58,-26.05,-65.39,61.88,6.71
594,avesta,90,SE,1570678364,100,60.15,16.18,44.6,2.24
595,la cruz,0,MX,1570678365,85,23.92,-106.89,81.5,2.66
596,richards bay,100,ZA,1570678365,79,-28.77,32.06,67.84,36.44
597,changuinola,89,PA,1570678366,78,9.44,-82.52,80.37,3.7
598,pundaguitan,100,PH,1570678367,69,6.37,126.17,83.41,4.23
599,papara,75,BR,1570678368,74,-3.98,-38.73,79,16.11
600,hirado,0,JP,1570678369,69,33.32,129.49,78.01,5.82
601,emerald,0,AU,1570678369,26,-23.53,148.16,84.99,6.93
602,benguela,92,AO,1570678370,88,-12.58,13.4,71.69,5.06
603,muskogee,1,US,1570678371,64,35.75,-95.37,70,10.29
604,quzhou,2,CN,1570678372,64,28.97,118.86,80.87,0.91
605,gazojak,100,TM,1570678373,18,41.19,61.4,68.05,9.1
606,wattegama,100,LK,1570678373,81,7.35,80.68,79.03,1.57
607,champerico,40,MX,1570678374,78,16.38,-93.6,77,6.93
608,vytegra,93,RU,1570678374,95,61.01,36.45,36.5,6
609,torit,,,,,,,,
610,griffith,0,AU,1570678376,28,-34.29,146.06,71.6,8.05
611,minab,20,IR,1570678376,94,27.15,57.07,84.2,4.7
612,labutta,,,,,,,,
613,smithers,20,CA,1570678379,74,54.78,-127.17,28.4,3.36
614,chabahar,40,IR,1570678379,88,25.29,60.65,78.8,3.09
615,bambous virieux,75,MU,1570678380,83,-20.34,57.76,73.99,21.92
616,tunduru,,,,,,,,
617,wangqing,87,CN,1570678383,42,43.31,129.76,58.69,6.63
618,pulgaon,0,IN,1570678383,74,20.73,78.32,78.03,5.88
619,opuwo,45,NA,1570678384,38,-18.06,13.84,53.62,1.86
620,mahajanga,20,MG,1570678385,64,-15.72,46.32,75.2,8.05
621,sug-aksy,,,,,,,,
622,moron de la frontera,0,ES,1570678386,63,37.12,-5.45,70,1.12
623,port moresby,90,PG,1570678386,83,-9.47,147.16,82.4,23.04
624,waimana,100,NZ,1570678386,87,-38.14,177.08,63,8.9
625,havoysund,40,NO,1570678386,86,71,24.66,37.4,13.87
626,yuksekova,0,TR,1570678386,57,37.57,44.29,51.8,4.7
627,mehamn,93,NO,1570678387,79,71.03,27.85,36.82,13.17
628,maningrida,28,AU,1570678387,30,-12.05,134.23,93.4,11.42
629,norden,88,DE,1570678387,93,53.59,7.21,48.99,11.41
630,kottingbrunn,20,AT,1570678387,66,47.95,16.23,55.99,1.12
631,coahuayana,100,MX,1570678387,90,18.62,-100.35,73.18,1.74
632,chany,12,RU,1570678388,77,55.31,76.76,47.3,12.07
633,belaya gora,100,RU,1570678388,79,68.54,146.19,15.98,6.59
634,aloleng,91,PH,1570678388,58,16.13,119.78,88.09,0.54
635,depok,40,ID,1570678388,55,-6.41,106.81,87.8,8.05
636,afmadu,,,,,,,,
637,korla,,,,,,,,
638,kavaratti,20,IN,1570678389,88,10.57,72.64,82.4,2.05
639,dalnerechensk,0,RU,1570678389,58,45.93,133.72,63.79,20.01
640,akonolinga,100,CM,1570678389,99,3.77,12.24,67.05,1.87
